,Element,Symbol,AtomicMass,Period,Group,Phase,Radioactive,Natural,Type,AtomicRadius,Electronegativity,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes,Discoverer,NumberofShells,NumberofValence,path
1,Hydrogen,H,1.007,1,1,gas,,yes,Nonmetal,0.79,2.2,8.99E-05,14.175,20.28,3,Cavendish,1,1,C:\\Users\\HP\\OneDrive\\Desktop\\118peroidic_table\\1.png
2,Helium,He,4.002,1,18,gas,,yes,Noble Gas,0.49,,1.79E-04,,4.22,5,Janssen,1,,
3,Lithium,Li,6.941,2,1,solid,,yes,Alkali Metal,2.1,0.98,5.34E-01,453.85,1615,5,Arfvedson,2,1,
4,Beryllium,Be,9.012,2,2,solid,,yes,Alkaline Earth Metal,1.4,1.57,1.85E+00,1560.15,2742,6,Vaulquelin,2,2,
5,Boron,B,10.811,2,13,solid,,yes,Metalloid,1.2,2.04,2.34E+00,2573.15,4200,6,Gay-Lussac,2,3,
6,Carbon,C,12.011,2,14,solid,,yes,Nonmetal,0.91,2.55,2.27E+00,3948.15,4300,7,Prehistoric,2,4,
7,Nitrogen,N,14.007,2,15,gas,,yes,Nonmetal,0.75,3.04,1.25E-03,63.29,77.36,8,Rutherford,2,5,
8,Oxygen,O,15.999,2,16,gas,,yes,Nonmetal,0.65,3.44,1.43E-03,50.5,90.2,8,Priestley/Scheele,2,6,
9,Fluorine,F,18.998,2,17,gas,,yes,Halogen,0.57,3.98,1.70E-03,53.63,85.03,6,Moissan,2,7,
10,Neon,Ne,20.18,2,18,gas,,yes,Noble Gas,0.51,,9.00E-04,24.703,27.07,8,Ramsay and Travers,2,8,
11,Sodium,Na,22.99,3,1,solid,,yes,Alkali Metal,2.2,0.93,9.71E-01,371.15,1156,7,Davy,3,1,
12,Magnesium,Mg,24.305,3,2,solid,,yes,Alkaline Earth Metal,1.7,1.31,1.74E+00,923.15,1363,8,Black,3,2,
13,Aluminum,Al,26.982,3,13,solid,,yes,Metal,1.8,1.61,2.70E+00,933.4,2792,8,Wshler,3,3,
14,Silicon,Si,28.086,3,14,solid,,yes,Metalloid,1.5,1.9,2.33E+00,1683.15,3538,8,Berzelius,3,4,
15,Phosphorus,P,30.974,3,15,solid,,yes,Nonmetal,1.2,2.19,1.82E+00,317.25,553,7,BranBrand,3,5,
16,Sulfur,S,32.065,3,16,solid,,yes,Nonmetal,1.1,2.58,2.07E+00,388.51,717.8,10,Prehistoric,3,6,
17,Chlorine,Cl,35.453,3,17,gas,,yes,Halogen,0.97,3.16,3.21E-03,172.31,239.11,11,Scheele,3,7,
18,Argon,Ar,39.948,3,18,gas,,yes,Noble Gas,0.88,,1.78E-03,83.96,87.3,8,Rayleigh and Ramsay,3,8,
19,Potassium,K,39.098,4,1,solid,,yes,Alkali Metal,2.8,0.82,8.62E-01,336.5,1032,10,Davy,4,1,
20,Calcium,Ca,40.078,4,2,solid,,yes,Alkaline Earth Metal,2.2,1,1.54E+00,1112.15,1757,14,Davy,4,2,
21,Scandium,Sc,44.956,4,3,solid,,yes,Transition Metal,2.1,1.36,2.99E+00,1812.15,3109,15,Nilson,4,,
22,Titanium,Ti,47.867,4,4,solid,,yes,Transition Metal,2,1.54,4.54E+00,1933.15,3560,9,Gregor,4,,
